Year,m,d,Time,Time zone,Global radiation (W/m2),Long wave solar radiation (W/m2),Long wave outgoing solar radiation (W/m2),Reflected radiation (W/m2)
2022,10,1,00:00,UTC,-0.8,312,325.9,-0.1
2022,10,1,01:00,UTC,-1.1,307.8,323.7,0.1
2022,10,1,02:00,UTC,-0.9,307.9,323.2,-0.3
2022,10,1,03:00,UTC,-0.3,310.5,323.4,-0.1
2022,10,1,04:00,UTC,0.2,313,324.3,-0.3
2022,10,1,05:00,UTC,2.8,315.2,325,0
2022,10,1,06:00,UTC,20.9,319.4,327.4,2.5
2022,10,1,07:00,UTC,43.7,319.9,330,5
2022,10,1,08:00,UTC,49.3,317.2,330.8,5.8
2022,10,1,09:00,UTC,88.3,309,334.5,10.4
2022,10,1,10:00,UTC,79.4,308.5,335.2,9.7
2022,10,1,11:00,UTC,86.7,307.6,336.7,11
2022,10,1,12:00,UTC,187.9,276.1,343.4,25.4
2022,10,1,13:00,UTC,110.9,248,333.9,13.3
2022,10,1,14:00,UTC,41.2,306.8,335.6,5.3
2022,10,1,15:00,UTC,7.3,309.8,330.9,1
2022,10,1,16:00,UTC,0,310.2,328.6,0.2
2022,10,1,17:00,UTC,-0.8,313.9,327.3,-0.1
2022,10,1,18:00,UTC,-0.2,312.7,326.2,-0.1
2022,10,1,19:00,UTC,-1.2,317,327,-0.2
2022,10,1,20:00,UTC,-1,308.1,324.7,-0.2
2022,10,1,21:00,UTC,-0.8,322.5,327.6,0.2
2022,10,1,22:00,UTC,-0.2,309.4,326.5,-0.2
2022,10,1,23:00,UTC,-0.8,303.1,324.3,-0.1
2022,10,2,00:00,UTC,-0.5,307.5,325.2,0
2022,10,2,01:00,UTC,-0.8,307.8,326.2,-0.2
2022,10,2,02:00,UTC,-0.7,303.8,326,0.1
2022,10,2,03:00,UTC,0,303.8,325.8,0.2
2022,10,2,04:00,UTC,-0.5,307.3,324.6,-0.2
2022,10,2,05:00,UTC,5.6,305,324.4,0.8
2022,10,2,06:00,UTC,31.6,308.6,329.4,3.8
2022,10,2,07:00,UTC,39.3,317.3,333.4,4.7
2022,10,2,08:00,UTC,79,325.8,341.5,9.7
2022,10,2,09:00,UTC,66.6,332.9,344.7,8.4
2022,10,2,10:00,UTC,28,336.5,341.4,2.9
2022,10,2,11:00,UTC,23.1,337.7,341.8,2.2
2022,10,2,12:00,UTC,17.4,338.7,343.4,2
2022,10,2,13:00,UTC,13.9,340.1,343.5,1.3
2022,10,2,14:00,UTC,9.1,342.2,344.8,1.2
2022,10,2,15:00,UTC,3,343.9,345.5,0.1
2022,10,2,16:00,UTC,0.5,344.8,346.7,-0.2
2022,10,2,17:00,UTC,-0.3,344.9,347.4,-0.3
2022,10,2,18:00,UTC,-1.4,345,348.1,-0.1
2022,10,2,19:00,UTC,-1,349.1,348.7,-0.4
2022,10,2,20:00,UTC,-0.8,348.4,349.1,-0.1
2022,10,2,21:00,UTC,-0.6,348.4,349.1,-0.1
2022,10,2,22:00,UTC,-0.9,347.8,349.7,0
2022,10,2,23:00,UTC,-0.7,348.9,349.5,-0.1
2022,10,3,00:00,UTC,-1,347.7,349,-0.2
2022,10,3,01:00,UTC,-0.4,336.8,347.7,0
2022,10,3,02:00,UTC,-1.7,270.6,337.7,-0.1
2022,10,3,03:00,UTC,-1.8,257.2,321,0
2022,10,3,04:00,UTC,-1.1,316.3,325.3,-0.1
2022,10,3,05:00,UTC,7.9,329.7,336.4,0.6
2022,10,3,06:00,UTC,22.8,334.9,340.8,2.2
2022,10,3,07:00,UTC,43,334.1,343.1,5.1
2022,10,3,08:00,UTC,57.4,333.2,344.9,6.4
2022,10,3,09:00,UTC,63.6,334.9,346.6,7
2022,10,3,10:00,UTC,78.9,333.8,348.3,9.2
2022,10,3,11:00,UTC,69.4,333.9,348,8
2022,10,3,12:00,UTC,76.5,333.2,352.5,9.1
2022,10,3,13:00,UTC,44.9,334.8,349.1,5.3
2022,10,3,14:00,UTC,38,325.8,347,4.2
2022,10,3,15:00,UTC,11.6,324.7,342.9,1.3
2022,10,3,16:00,UTC,-0.1,328.1,339.9,-0.3
2022,10,3,17:00,UTC,-1,319.2,337.1,-0.3
2022,10,3,18:00,UTC,-0.3,325.3,334.9,0
2022,10,3,19:00,UTC,-0.1,323.2,335.1,-0.3
2022,10,3,20:00,UTC,-1.4,323.8,333.7,0
2022,10,3,21:00,UTC,-0.2,322.7,333.4,-0.2
2022,10,3,22:00,UTC,0.1,329.8,335,-0.2
2022,10,3,23:00,UTC,-0.5,329.6,335.5,0.1
2022,10,4,00:00,UTC,-0.4,329.4,334.9,0.1
2022,10,4,01:00,UTC,-0.4,330,334.9,-0.2
2022,10,4,02:00,UTC,-0.1,328.9,334.7,0
2022,10,4,03:00,UTC,-0.1,327.2,334.3,-0.1
2022,10,4,04:00,UTC,-0.2,325,334,0.1
2022,10,4,05:00,UTC,4.6,324.7,333,0.6
2022,10,4,06:00,UTC,20.5,322.7,332.7,2.2
2022,10,4,07:00,UTC,27.2,324.9,334.6,2.9
2022,10,4,08:00,UTC,63,323.4,339.7,7.7
2022,10,4,09:00,UTC,71.4,323.4,339.5,8.7
2022,10,4,10:00,UTC,76.6,323.3,340.3,9.5
2022,10,4,11:00,UTC,77.1,323.1,340.2,9.2
2022,10,4,12:00,UTC,64.7,323.6,341.5,8.1
2022,10,4,13:00,UTC,57.3,324.6,342,7.2
2022,10,4,14:00,UTC,57.8,324.5,342.4,8
2022,10,4,15:00,UTC,27.7,307.4,338.3,4.5
2022,10,4,16:00,UTC,-0.5,307.8,331.4,0
2022,10,4,17:00,UTC,-0.3,323.5,330.2,-0.2
2022,10,4,18:00,UTC,-0.6,328.5,334,-0.1
2022,10,4,19:00,UTC,-1.5,331.8,333.4,0
2022,10,4,20:00,UTC,-1.2,328.8,333.4,-0.2
2022,10,4,21:00,UTC,0,330.4,334.2,-0.1
2022,10,4,22:00,UTC,-0.7,328.2,333.9,0
2022,10,4,23:00,UTC,-0.1,329.5,334.7,0
2022,10,5,00:00,UTC,-0.8,329.8,335.2,0
2022,10,5,01:00,UTC,-0.3,325.2,334.2,-0.2
2022,10,5,02:00,UTC,-0.5,322.4,334.3,0.2
2022,10,5,03:00,UTC,-0.7,315,332.5,0
2022,10,5,04:00,UTC,-0.4,320.6,333.5,0.4
2022,10,5,05:00,UTC,4.2,323.5,332.7,0.5
2022,10,5,06:00,UTC,20.9,319.9,334.8,2.4
2022,10,5,07:00,UTC,48.2,320.3,338.5,5.8
2022,10,5,08:00,UTC,98.4,292.9,340.4,10.1
2022,10,5,09:00,UTC,65.7,326.9,342.7,8
2022,10,5,10:00,UTC,56.8,327.2,339.6,6.5
2022,10,5,11:00,UTC,75,320.9,339.9,8.9
2022,10,5,12:00,UTC,39.5,325.1,340.2,4.7
2022,10,5,13:00,UTC,43.6,325.7,340,5.1
2022,10,5,14:00,UTC,14,325.2,336,1.4
2022,10,5,15:00,UTC,18.6,326,337,2.8
2022,10,5,16:00,UTC,-0.9,325.6,335.5,0.1
2022,10,5,17:00,UTC,-1.6,318,334.7,0
2022,10,5,18:00,UTC,-0.2,321,334.7,-0.1
2022,10,5,19:00,UTC,-1.8,329.7,335.5,0.1
2022,10,5,20:00,UTC,-1.7,334.1,336.1,0.1
2022,10,5,21:00,UTC,-1.5,335.7,337.6,0.3
2022,10,5,22:00,UTC,-1.1,337.7,339.8,0
2022,10,5,23:00,UTC,-1.4,341.3,341.9,-0.1
2022,10,6,00:00,UTC,-0.5,344.6,344.3,0
2022,10,6,01:00,UTC,-0.5,346.7,345.9,0.3
2022,10,6,02:00,UTC,-0.8,345.6,347,-0.1
2022,10,6,03:00,UTC,-1.6,347.5,347.8,0
2022,10,6,04:00,UTC,-1,347.1,348.7,-0.2
2022,10,6,05:00,UTC,0.4,348.2,350,0
2022,10,6,06:00,UTC,3.9,349.5,352.1,0.4
2022,10,6,07:00,UTC,23.1,351.6,354.3,2.2
2022,10,6,08:00,UTC,55.3,356.1,357.8,6
2022,10,6,09:00,UTC,45.7,361.9,363.3,4.6
2022,10,6,10:00,UTC,200.4,342.6,366,22.9
2022,10,6,11:00,UTC,322.3,285.1,360.5,46.8
2022,10,6,12:00,UTC,245.3,267.6,359.3,32.3
2022,10,6,13:00,UTC,160.6,268.4,353.7,18.5
2022,10,6,14:00,UTC,97,265.1,347.3,2.4
2022,10,6,15:00,UTC,10.1,264.5,342.9,1.2
2022,10,6,16:00,UTC,-3,263.8,338.4,-0.1
2022,10,6,17:00,UTC,-2.2,263.8,337,0.1
2022,10,6,18:00,UTC,-2.2,262.8,332.3,0
2022,10,6,19:00,UTC,-2.4,261.4,332.9,0.1
2022,10,6,20:00,UTC,-2.2,262.1,331.5,0
2022,10,6,21:00,UTC,-2.2,259.2,329.4,0
2022,10,6,22:00,UTC,-2.3,258.5,330.3,-0.2
2022,10,6,23:00,UTC,-2.3,257.2,330.6,0.3
2022,10,7,00:00,UTC,-2.4,254.9,327.3,0.1
2022,10,7,01:00,UTC,-2.4,253.9,326.3,-0.1
2022,10,7,02:00,UTC,-2.3,254,327.4,0
2022,10,7,03:00,UTC,-2.5,252.6,324.4,-0.1
2022,10,7,04:00,UTC,-2.2,252.3,323.9,0
2022,10,7,05:00,UTC,7.5,250.3,320.5,0.8
2022,10,7,06:00,UTC,23.8,246.3,323.7,1.7
2022,10,7,07:00,UTC,150.5,249.7,332.1,12.8
2022,10,7,08:00,UTC,217,254.8,346.6,36.7
2022,10,7,09:00,UTC,283.8,264,355.3,49.1
2022,10,7,10:00,UTC,291.1,263.3,362.6,47.9
2022,10,7,11:00,UTC,276.7,263.9,362.1,43.6
2022,10,7,12:00,UTC,235.9,266.5,358.7,31.3
2022,10,7,13:00,UTC,170.9,267,352.9,18.7
2022,10,7,14:00,UTC,82.4,266.2,344.5,2.1
2022,10,7,15:00,UTC,6.1,263.3,336.4,0.5
2022,10,7,16:00,UTC,-2.7,260.3,326.1,0
2022,10,7,17:00,UTC,-2.5,260.5,326.2,-0.5
2022,10,7,18:00,UTC,-1.8,295.9,331.7,0
2022,10,7,19:00,UTC,-1.3,323.7,338.3,-0.4
2022,10,7,20:00,UTC,-2,320.3,339.4,0
2022,10,7,21:00,UTC,-0.7,318,335.9,0.3
2022,10,7,22:00,UTC,-1,339.7,342,0
2022,10,7,23:00,UTC,-0.4,344.7,342.9,0
2022,10,8,00:00,UTC,-0.1,343.6,342.9,-0.1
2022,10,8,01:00,UTC,-0.2,338.9,339.5,0.2
2022,10,8,02:00,UTC,-0.9,339.5,342.5,-0.1
2022,10,8,03:00,UTC,-0.9,332.9,342.3,-0.2
2022,10,8,04:00,UTC,-1.1,336.8,342,-0.1
2022,10,8,05:00,UTC,2.4,334.1,342.7,0.1
2022,10,8,06:00,UTC,13.9,332.6,343.3,1.1
2022,10,8,07:00,UTC,33.6,332.4,345.6,3.2
2022,10,8,08:00,UTC,171.3,291.2,351.5,20.2
2022,10,8,09:00,UTC,366.8,285.9,362.2,60.1
2022,10,8,10:00,UTC,186.3,296.3,363.1,25.3
2022,10,8,11:00,UTC,257,297.1,371.6,37.6
2022,10,8,12:00,UTC,145.1,325.7,363.3,19
2022,10,8,13:00,UTC,172.1,266.8,353.4,18.2
2022,10,8,14:00,UTC,20.1,264,341.5,1.4
2022,10,8,15:00,UTC,3.8,280.1,339.7,0.5
2022,10,8,16:00,UTC,-1.4,329.3,345.5,-0.1
2022,10,8,17:00,UTC,-0.8,327.8,343.9,-0.2
2022,10,8,18:00,UTC,-2.6,322.2,341.3,0.4
2022,10,8,19:00,UTC,-2.6,266.1,333.5,0
2022,10,8,20:00,UTC,-2.1,257.9,325.8,0.2
2022,10,8,21:00,UTC,-1.7,281.2,325,-0.3
2022,10,8,22:00,UTC,-1.5,290.7,329.3,0
2022,10,8,23:00,UTC,-1.5,314.6,332.2,-0.1
2022,10,9,00:00,UTC,-1.6,297.4,329,0.1
2022,10,9,01:00,UTC,-2.3,265.6,322.3,0
2022,10,9,02:00,UTC,-1.3,282.5,324,-0.1
2022,10,9,03:00,UTC,-2.8,246.9,315.6,0.1
2022,10,9,04:00,UTC,-1.8,241.6,311.4,-0.3
2022,10,9,05:00,UTC,3.5,240.6,311.9,0.6
2022,10,9,06:00,UTC,59.2,240.5,315.5,6.6
2022,10,9,07:00,UTC,139.2,242.8,321.4,11.9
2022,10,9,08:00,UTC,208.9,244.4,335.3,35.7
2022,10,9,09:00,UTC,274.7,255.5,347.8,47.1
2022,10,9,10:00,UTC,221.4,270.9,358.9,34.4
2022,10,9,11:00,UTC,142.5,260.9,344.8,19.8
2022,10,9,12:00,UTC,109.9,255,338.5,13.8
2022,10,9,13:00,UTC,176.1,258,342.2,19.4
2022,10,9,14:00,UTC,78.4,255.1,333.3,1.9
2022,10,9,15:00,UTC,5.5,252.8,315.9,0.1
2022,10,9,16:00,UTC,-2.4,247.8,319.7,-0.2
2022,10,9,17:00,UTC,-2.4,246.5,318.1,0.1
2022,10,9,18:00,UTC,-2,246.3,318.5,0
2022,10,9,19:00,UTC,-1.8,245,309.3,0
2022,10,9,20:00,UTC,-2.3,243.8,305.2,0.1
2022,10,9,21:00,UTC,-2.2,241.9,311.5,-0.1
2022,10,9,22:00,UTC,-2.3,241.8,311,-0.1
2022,10,9,23:00,UTC,-2,244.7,305,0.1
2022,10,10,00:00,UTC,-2.4,248,303.1,0
2022,10,10,01:00,UTC,-2.5,240.2,303.9,-0.1
2022,10,10,02:00,UTC,-1.4,243,307.6,0.1
2022,10,10,03:00,UTC,-0.1,283.1,309.6,-0.1
2022,10,10,04:00,UTC,-1,275.7,307,-0.2
2022,10,10,05:00,UTC,4.8,267.1,308.7,0.7
2022,10,10,06:00,UTC,56.4,272.3,316.3,6.3
2022,10,10,07:00,UTC,84.8,265.1,320.3,10.9
2022,10,10,08:00,UTC,143.8,274.5,329,19.3
2022,10,10,09:00,UTC,311.2,283.3,354.8,50.3
2022,10,10,10:00,UTC,229.4,271.7,350.6,34.6
2022,10,10,11:00,UTC,84.8,271.5,342.3,10
2022,10,10,12:00,UTC,131.1,317.5,349.8,17.1
2022,10,10,13:00,UTC,17.5,341.4,348.1,1.4
2022,10,10,14:00,UTC,19.7,341.8,349.6,2.8
2022,10,10,15:00,UTC,2.5,330,346.6,0.6
2022,10,10,16:00,UTC,-0.8,338.9,347,0
2022,10,10,17:00,UTC,-0.7,337.1,345.5,0.1
2022,10,10,18:00,UTC,-0.6,339.5,346,-0.1
2022,10,10,19:00,UTC,-0.4,339,346.9,-0.1
2022,10,10,20:00,UTC,-0.1,341.3,346.4,-0.1
2022,10,10,21:00,UTC,-1,348.1,346.5,-0.5
2022,10,10,22:00,UTC,-1,348.7,349.6,-0.1
2022,10,10,23:00,UTC,-0.1,346.5,350.8,0.1
2022,10,11,00:00,UTC,-0.3,345.1,350,-0.3
2022,10,11,01:00,UTC,0.1,342.3,349.7,-0.4
2022,10,11,02:00,UTC,-0.6,344.3,350.3,0.2
2022,10,11,03:00,UTC,-0.8,339.5,350.7,0.2
2022,10,11,04:00,UTC,-0.2,343.1,350.4,-0.1
2022,10,11,05:00,UTC,0.5,343.6,350.7,-0.2
2022,10,11,06:00,UTC,-0.3,346,350.7,0
2022,10,11,07:00,UTC,13.2,342.9,352,1.1
2022,10,11,08:00,UTC,28,344.7,353.6,3.5
2022,10,11,09:00,UTC,37.7,344.6,352.1,4.6
2022,10,11,10:00,UTC,52.3,342.9,354.2,6.2
2022,10,11,11:00,UTC,36.3,342.4,352,4.3
2022,10,11,12:00,UTC,13.9,342,350.3,1.4
2022,10,11,13:00,UTC,12.6,344.1,347.6,1.4
2022,10,11,14:00,UTC,10.2,344.7,347.3,1
2022,10,11,15:00,UTC,-0.8,345.4,346.5,-0.1
2022,10,11,16:00,UTC,-1.2,344.8,346.5,-0.1
2022,10,11,17:00,UTC,-0.8,340.9,346.3,0
2022,10,11,18:00,UTC,-1.4,338.4,345.4,0
2022,10,11,19:00,UTC,-0.6,336.4,342.8,-0.2
2022,10,11,20:00,UTC,-0.2,333.6,340.6,0
2022,10,11,21:00,UTC,-0.8,331.3,339.4,-0.2
2022,10,11,22:00,UTC,-1.4,333.8,339.5,-0.3
2022,10,11,23:00,UTC,-1.1,310.3,335.5,-0.2
2022,10,12,00:00,UTC,-1.4,306.5,333.2,-0.1
2022,10,12,01:00,UTC,-1.4,295.3,329.8,0.3
2022,10,12,02:00,UTC,-0.7,279.8,326,0.1
2022,10,12,03:00,UTC,-1.2,283.1,325.1,-0.1
2022,10,12,04:00,UTC,-2.2,254.8,320.5,0.1
2022,10,12,05:00,UTC,0.9,241.4,317.8,0.4
2022,10,12,06:00,UTC,35.1,239.3,318.2,2.3
2022,10,12,07:00,UTC,121.9,240,321.9,10.4
2022,10,12,08:00,UTC,86.3,258.9,329.9,10.7
2022,10,12,09:00,UTC,119.6,262.4,334.4,15.5
2022,10,12,10:00,UTC,285.2,252.6,346.2,46.5
2022,10,12,11:00,UTC,240.3,250,343.2,36.9
2022,10,12,12:00,UTC,158,264.6,338.6,19.9
2022,10,12,13:00,UTC,53.9,315,339.5,6.7
2022,10,12,14:00,UTC,34.2,303.1,335.7,4.2
2022,10,12,15:00,UTC,1.9,283.5,332.1,0.2
2022,10,12,16:00,UTC,-2.4,252,324.6,0.1
2022,10,12,17:00,UTC,-1.4,250.3,320.5,-0.1
2022,10,12,18:00,UTC,-1.5,248.2,313.3,-0.1
2022,10,12,19:00,UTC,-2.2,245.8,313.6,-0.1
2022,10,12,20:00,UTC,-2.8,241.7,309.7,0.2
2022,10,12,21:00,UTC,-2.7,240.2,305.3,0.3
2022,10,12,22:00,UTC,-2.1,234.9,299.6,0.2
2022,10,12,23:00,UTC,-2.1,231.4,296.9,-0.1
2022,10,13,00:00,UTC,-1.9,228.9,294.6,0.2
2022,10,13,01:00,UTC,-1.7,229.6,297.7,-0.1
2022,10,13,02:00,UTC,-1.4,237.1,295.1,0
2022,10,13,03:00,UTC,-1.5,250.7,300.7,0
2022,10,13,04:00,UTC,-1.2,249.1,306.1,0
2022,10,13,05:00,UTC,5.5,297.9,310.7,1.2
2022,10,13,06:00,UTC,19.9,311.5,316.4,2.4
2022,10,13,07:00,UTC,26,318.6,320.3,2.7
2022,10,13,08:00,UTC,66.2,323.5,324.9,7.5
2022,10,13,09:00,UTC,66.5,327.8,330.1,7.4
2022,10,13,10:00,UTC,134.6,323.8,337.2,15.6
2022,10,13,11:00,UTC,70.5,329.5,341.7,8.3
2022,10,13,12:00,UTC,44.8,330.4,343.3,5.2
2022,10,13,13:00,UTC,24.6,339.5,343.3,2.7
2022,10,13,14:00,UTC,6,335.8,339.6,0.7
2022,10,13,15:00,UTC,0.3,337.3,338.6,-0.1
2022,10,13,16:00,UTC,-1.1,336.2,338.5,0.2
2022,10,13,17:00,UTC,-0.7,336.2,338.9,-0.3
2022,10,13,18:00,UTC,-1.1,335.9,339.2,-0.3
2022,10,13,19:00,UTC,-0.3,330.2,338.6,-0.3
2022,10,13,20:00,UTC,-1.2,319.8,337.2,0
2022,10,13,21:00,UTC,-0.3,323.8,333.5,-0.6
2022,10,13,22:00,UTC,-0.3,325.6,334.9,0
2022,10,13,23:00,UTC,-0.3,328.7,334.9,-0.2
2022,10,14,00:00,UTC,-0.1,326.1,333.7,-0.2
2022,10,14,01:00,UTC,0,328.9,333.8,0.2
2022,10,14,02:00,UTC,0.5,327.6,333,0.1
2022,10,14,03:00,UTC,-0.6,326.9,332.3,0
2022,10,14,04:00,UTC,-0.7,325.8,331.4,-0.1
2022,10,14,05:00,UTC,0.5,325.9,330.8,-0.2
2022,10,14,06:00,UTC,10.3,325.2,331.6,1
2022,10,14,07:00,UTC,18.5,325.1,332.6,1.3
2022,10,14,08:00,UTC,33.9,323.8,334.7,3.3
2022,10,14,09:00,UTC,55.5,324.7,338,6.2
2022,10,14,10:00,UTC,78,324,341.6,8.9
2022,10,14,11:00,UTC,84.3,327.3,343,9.9
2022,10,14,12:00,UTC,24.2,328.1,337.1,1.9
2022,10,14,13:00,UTC,23.8,327.9,338.1,2.7
2022,10,14,14:00,UTC,7.6,328.1,336.3,0.7
2022,10,14,15:00,UTC,0.5,328.4,334.3,-0.2
2022,10,14,16:00,UTC,-0.7,328.6,334.1,-0.1
2022,10,14,17:00,UTC,0.2,326.4,334,-0.1
2022,10,14,18:00,UTC,-0.1,328.1,334,-0.1
2022,10,14,19:00,UTC,-0.3,329.1,334.3,0.1
2022,10,14,20:00,UTC,0,327.9,333.4,-0.1
2022,10,14,21:00,UTC,-0.2,325.3,331.3,-0.1
2022,10,14,22:00,UTC,-0.5,324.3,330.2,-0.1
2022,10,14,23:00,UTC,-0.2,326,331.4,-0.3
2022,10,15,00:00,UTC,-0.5,326.3,332,-0.2
2022,10,15,01:00,UTC,-0.3,327.6,332.9,-0.1
2022,10,15,02:00,UTC,-0.2,328.1,333.5,-0.2
2022,10,15,03:00,UTC,0.1,329,333.8,-0.4
2022,10,15,04:00,UTC,-0.5,329.5,334.3,-0.3
2022,10,15,05:00,UTC,-0.4,332.7,334.5,0.1
2022,10,15,06:00,UTC,4.9,333.4,336.1,0.2
2022,10,15,07:00,UTC,10.9,337.1,339,1.1
2022,10,15,08:00,UTC,26.7,339.9,342.8,2.4
2022,10,15,09:00,UTC,58.5,332.8,351.2,5.8
2022,10,15,10:00,UTC,68.7,339.3,352.2,8.9
2022,10,15,11:00,UTC,54.8,342.5,352.3,5.9
2022,10,15,12:00,UTC,18.8,344,350.3,2
2022,10,15,13:00,UTC,6.7,347,349,0.6
2022,10,15,14:00,UTC,2.4,347,349,0
2022,10,15,15:00,UTC,0,344.1,348.1,0
2022,10,15,16:00,UTC,-0.2,343.5,347.6,-0.2
2022,10,15,17:00,UTC,-0.8,343.6,347.8,-0.4
2022,10,15,18:00,UTC,-0.4,344.9,348.1,-0.2
2022,10,15,19:00,UTC,-0.8,345.3,348.9,0.1
2022,10,15,20:00,UTC,-0.3,346.1,348.6,-0.4
2022,10,15,21:00,UTC,0.2,347.6,349.5,-0.3
2022,10,15,22:00,UTC,-0.1,348.5,351.5,-0.1
2022,10,15,23:00,UTC,-1.1,349.8,350.6,-0.3
2022,10,16,00:00,UTC,-1.3,350.7,352.1,0.4
2022,10,16,01:00,UTC,-1.6,353,354.1,0
2022,10,16,02:00,UTC,-1,325.9,351.8,-0.2
2022,10,16,03:00,UTC,-1.2,341.7,352,-0.1
2022,10,16,04:00,UTC,-0.3,339.3,351.8,0
2022,10,16,05:00,UTC,-0.2,336.1,349.3,0.1
2022,10,16,06:00,UTC,3.5,337.5,347.9,0.4
2022,10,16,07:00,UTC,22.4,337.5,347.6,2.2
2022,10,16,08:00,UTC,49.6,336.3,349,5.8
2022,10,16,09:00,UTC,45.9,337.3,349.7,5.3
2022,10,16,10:00,UTC,141,335.2,358.6,18.3
2022,10,16,11:00,UTC,59.3,337.6,354.4,6.7
2022,10,16,12:00,UTC,47.9,331.1,351.4,5.8
2022,10,16,13:00,UTC,42.2,307.6,346.2,5.4
2022,10,16,14:00,UTC,6.6,340.6,345.2,0.8
2022,10,16,15:00,UTC,-0.7,345.7,345.2,-0.2
2022,10,16,16:00,UTC,-0.7,345,348,-0.1
2022,10,16,17:00,UTC,-0.4,353.1,352.6,0
2022,10,16,18:00,UTC,-0.3,343.6,352,0.2
2022,10,16,19:00,UTC,-1.3,313.8,345.4,0.2
2022,10,16,20:00,UTC,-0.6,339.9,347.4,-0.1
2022,10,16,21:00,UTC,-1.2,335.7,346.7,0.3
2022,10,16,22:00,UTC,-1.1,341.3,346.8,-0.1
2022,10,16,23:00,UTC,-0.4,344.2,346.6,0
2022,10,17,00:00,UTC,-1.2,343.1,346.4,0
2022,10,17,01:00,UTC,-0.9,331.1,338.8,-0.1
2022,10,17,02:00,UTC,-0.8,322.5,335.2,-0.3
2022,10,17,03:00,UTC,-1.1,330.6,334.5,0
2022,10,17,04:00,UTC,-0.9,325.9,332.3,0.1
2022,10,17,05:00,UTC,0,323.1,331.2,0
2022,10,17,06:00,UTC,7.4,323,330.8,1
2022,10,17,07:00,UTC,17,327.2,333.3,1.8
2022,10,17,08:00,UTC,27.2,322.2,332.1,3
2022,10,17,09:00,UTC,34.5,328.4,336.6,3.5
2022,10,17,10:00,UTC,49.7,315.7,338.3,5.2
2022,10,17,11:00,UTC,85.4,300.2,339.4,9.3
2022,10,17,12:00,UTC,49.8,285.1,335.9,5.1
2022,10,17,13:00,UTC,128.4,288,339,10.4
2022,10,17,14:00,UTC,34.2,276.2,330.7,3.1
2022,10,17,15:00,UTC,-0.5,324.5,336,0.1
2022,10,17,16:00,UTC,-1.5,303,333,-0.1
2022,10,17,17:00,UTC,-1.1,295.9,330.2,0
2022,10,17,18:00,UTC,-0.5,279.4,323.5,-0.1
2022,10,17,19:00,UTC,-2,250,321.4,0.1
2022,10,17,20:00,UTC,-1.8,242.1,315.7,-0.1
2022,10,17,21:00,UTC,-1.6,237.5,312.8,0
2022,10,17,22:00,UTC,-2.1,234.6,310.3,0.1
2022,10,17,23:00,UTC,-1.5,250.9,308.6,-0.2
2022,10,18,00:00,UTC,-1.8,260.4,309.6,-0.2
2022,10,18,01:00,UTC,-1.9,246.4,308.4,-0.1
2022,10,18,02:00,UTC,-2.3,230.6,306.9,0
2022,10,18,03:00,UTC,-2,230.9,304.1,-0.1
2022,10,18,04:00,UTC,-1.1,267.9,306.8,-0.1
2022,10,18,05:00,UTC,-0.7,269.2,308.7,-0.1
2022,10,18,06:00,UTC,11.9,274.3,309.5,1.5
2022,10,18,07:00,UTC,115.7,262.6,313.9,13.2
2022,10,18,08:00,UTC,156.2,242,319.2,23.7
2022,10,18,09:00,UTC,322.6,277.9,329.9,47.6
2022,10,18,10:00,UTC,140.5,280.7,329.9,17.3
2022,10,18,11:00,UTC,75.1,281.7,326.6,8.9
2022,10,18,12:00,UTC,81.1,248.3,322.4,9.5
2022,10,18,13:00,UTC,53.6,254,323.4,6.6
2022,10,18,14:00,UTC,17.5,239.6,314.1,2.1
2022,10,18,15:00,UTC,-1.1,239.2,311.9,0
2022,10,18,16:00,UTC,-1.2,263.8,311.5,-0.3
2022,10,18,17:00,UTC,-0.4,310.9,316.6,-0.1
2022,10,18,18:00,UTC,-0.3,310.1,317.7,0
2022,10,18,19:00,UTC,-0.7,282.8,315.7,0.2
2022,10,18,20:00,UTC,-2.6,233.2,308.1,0.3
2022,10,18,21:00,UTC,-2.4,231.4,303.8,0.2
2022,10,18,22:00,UTC,-1.2,230.4,303.4,0.2
2022,10,18,23:00,UTC,-1.3,230.8,298.8,0
2022,10,19,00:00,UTC,-2.4,228.8,296.4,-0.1
2022,10,19,01:00,UTC,-2,224.8,294.5,-0.2
2022,10,19,02:00,UTC,-1.7,225.9,294.3,-0.1
2022,10,19,03:00,UTC,-2,228.6,294.5,0.1
2022,10,19,04:00,UTC,-0.7,263.3,297,-0.4
2022,10,19,05:00,UTC,-0.5,285.9,305,0
2022,10,19,06:00,UTC,10.8,286.5,307.2,1.4
2022,10,19,07:00,UTC,32.6,293.2,310.7,5.2
2022,10,19,08:00,UTC,50.4,291.5,313.9,7.8
2022,10,19,09:00,UTC,55.3,292.9,316.4,7.5
2022,10,19,10:00,UTC,93.7,265.3,317.8,12.3
2022,10,19,11:00,UTC,54.8,312.8,323.5,6.2
2022,10,19,12:00,UTC,48.5,306.8,322.6,5.5
2022,10,19,13:00,UTC,50.5,301.5,323.5,4.7
2022,10,19,14:00,UTC,7,308.5,323.5,0.7
2022,10,19,15:00,UTC,-0.8,296.2,321.4,-0.2
2022,10,19,16:00,UTC,-1.8,259.4,318.4,0
2022,10,19,17:00,UTC,-1.9,256,317.6,-0.3
2022,10,19,18:00,UTC,-0.8,269.1,317.6,-0.2
